id,Name,Platform,Year,Genre,Publisher,Developer,Critic_Score,User_Score,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Card_image,Full_image
51,"Call of Duty: Black Ops II",PS3,2012,Shooter,"Activision  ","Treyarch  ",0,0,4.99,5.88,0.65,2.28,13.8,https://www.vgchartz.com/games/boxart/full_4649679AmericaFrontccc.png,https://www.vgchartz.com/games/banners/589869270715ccc.jpg
52,"Call of Duty: Modern Warfare 2",X360,2009,Shooter,"Activision  ","Infinity Ward  ",9.5,9,8.54,3.63,0.08,1.28,13.53,https://www.vgchartz.com/games/boxart/full_809251AmericaFrontccc.jpg,https://www.vgchartz.com/games/banners/call-of-duty-modern-warfare-2_banner78.jpg
53,"Call of Duty: WWII",PS4,2017,Shooter,"Activision  ","Sledgehammer Games  ",8,0,4.67,6.21,0.4,2.12,13.4,https://www.vgchartz.com/games/boxart/full_4380292AmericaFrontccc.jpg,https://www.vgchartz.com/games/banners/8997365170599ccc.png
54,"New Super Mario Bros. 2",3DS,2012,Platform,"Nintendo  ","Nintendo  ",7.5,0,3.95,4.07,2.59,0.72,11.33,https://www.vgchartz.com/games/boxart/full_9872028AmericaFrontccc.jpg,https://www.vgchartz.com/games/banners/557168770735ccc.jpg
55,"Call of Duty: Modern Warfare 3",PS3,2011,Shooter,"Activision  ","Infinity Ward  ",8.8,0,5.54,5.78,0.49,1.54,13.35,https://www.vgchartz.com/games/boxart/full_call-of-duty-modern-warfare-3_278AmericaFront.jpg,https://www.vgchartz.com/games/banners/call-of-duty-modern-warfare-3_banner80.jpg
56,"Super Smash Bros. Brawl",Wii,2008,Fighting,"Nintendo  ","Project Sora  ",9.2,9.7,6.64,2.57,2.67,1.03,12.91,https://www.vgchartz.com/games/boxart/full_4169332AmericaFrontccc.jpg,https://www.vgchartz.com/games/banners/super-smash-bros-brawl_banner26.png
57,"Grand Theft Auto III",PS2,2001,Action,"Rockstar Games  ","DMA Design  ",9.5,0,6.99,4.51,0.3,1.3,13.1,https://www.vgchartz.com/games/boxart/3570928ccc.jpg,https://www.vgchartz.com/games/banners/grand-theft-auto-iii_banner47.jpg
58,Minecraft,X360,2013,Misc,"Microsoft Studios  ","Mojang  ",0,0,5.96,2.94,0.02,0.9,9.82,https://www.vgchartz.com/games/boxart/full_7845034AmericaFrontccc.jpg,https://www.vgchartz.com/games/banners/187271551765ccc.jpg
59,"Animal Crossing: New Leaf",3DS,2013,Simulation,"Nintendo  ","Nintendo EAD  ",8.6,0,2.46,3.06,4.9,0.48,10.9,https://www.vgchartz.com/games/boxart/full_7774244AmericaFrontccc.jpg,https://www.vgchartz.com/games/banners/798196271137ccc.jpg
60,"Super Mario 3D Land",3DS,2011,Platform,"Nintendo  ","Nintendo EAD Tokyo  ",8.9,0,5.1,3.46,2.15,0.85,11.56,https://www.vgchartz.com/games/boxart/full_super-mario-3dland_167AmericaFront.jpg,https://www.vgchartz.com/games/banners/super-mario-3d-land_banner7.jpg
61,"Super Mario Galaxy",Wii,2007,Platform,"Nintendo  ","Nintendo EAD Tokyo  ",9.7,9.6,6.06,3.38,1.2,0.76,11.4,https://www.vgchartz.com/games/boxart/full_5542974AmericaFrontccc.jpg,https://www.vgchartz.com/games/banners/super-mario-galaxy_banner3.png
62,"Pokémon Heart Gold / Soul Silver Version",DS,2010,Role-Playing,"Nintendo  ","Game Freak  ",8.6,0,4.34,2.72,3.96,0.76,11.78,https://www.vgchartz.com/games/boxart/full_2733841AmericaFrontccc.jpg,https://www.vgchartz.com/games/banners/pokemon-heart-gold-soul-silver-version_banner31.jpg
63,"Splatoon 2",NS,2017,Shooter,"Nintendo  ","Nintendo EPD  ",8.2,0,1.9,1.8,3.01,0.34,7.04,https://www.vgchartz.com/games/boxart/full_7536933AmericaFrontccc.png,https://www.vgchartz.com/games/banners/2423374153120ccc.png
64,"Call of Duty: Black Ops",PS3,2010,Shooter,"Activision  ","Treyarch  ",8.7,0,6.01,4.4,0.48,1.78,12.67,https://www.vgchartz.com/games/boxart/full_call-of-duty-black-ops_3AmericaFront.jpg,https://www.vgchartz.com/games/banners/call-of-duty-black-ops_banner84.jpg
65,"The Witcher 3: Wild Hunt",PS4,2015,Role-Playing,"Warner Bros. Interactive Entertainment  ","CD Projekt Red Studio  ",0,0,1.48,2.82,0.28,0.81,5.39,https://www.vgchartz.com/games/boxart/full_7461389AmericaFrontccc.jpg,https://www.vgchartz.com/games/banners/972892171482ccc.jpg
66,"Pokémon FireRed / LeafGreen Version",GBA,2004,Role-Playing,"Nintendo  ","Game Freak  ",8.3,0,4.34,2.65,3.15,0.35,10.49,https://www.vgchartz.com/games/boxart/full_5668335AmericaFrontccc.jpg,https://www.vgchartz.com/games/banners/pokemon-firered-leafgreen_banner63.jpg
67,"Gran Turismo 5",PS3,2010,Racing,"Sony Computer Entertainment  ","Polyphony Digital  ",8.3,0,2.96,4.87,0.81,2.1,10.75,https://www.vgchartz.com/games/boxart/full_gran-turismo-5_118AmericaFront.png,https://www.vgchartz.com/games/banners/gran-turismo-5_banner34.jpg
68,"Super Mario 64",N64,1996,Platform,"Nintendo  ","Nintendo EAD  ",9.7,9.2,6.91,2.85,1.91,0.23,11.89,https://www.vgchartz.com/games/boxart/full_9007863AmericaFrontccc.jpg,https://www.vgchartz.com/games/banners/super-mario-64_banner34.png
69,"FIFA 18",PS4,2017,Sports,"EA Sports  ","EA Vancouver  ",8.3,0,1.27,8.64,0.15,1.73,11.8,https://www.vgchartz.com/games/boxart/full_5257064AmericaFrontccc.jpg,https://www.vgchartz.com/games/banners/4375726180525ccc.jpg
70,"The Last of Us Remastered",PS4,2014,Action-Adventure,"Sony Computer Entertainment  ","Naughty Dog  ",9.5,0,2.7,2.86,0.11,1.1,6.77,https://www.vgchartz.com/games/boxart/full_6199072AmericaFrontccc.jpg,https://www.vgchartz.com/games/banners/675889780977ccc.jpg
71,"Gran Turismo 4",PS2,2005,Racing,"Sony Computer Entertainment  ","Polyphony Digital  ",8.7,0,3.01,0.01,1.1,7.53,11.66,https://www.vgchartz.com/games/boxart/full_8555381AmericaFrontccc.jpg,https://www.vgchartz.com/games/banners/gran-turismo-4_banner87.jpg
72,"Animal Crossing: Wild World",DS,2005,Simulation,"Nintendo  ","Nintendo EAD  ",8.5,0,2.5,3.46,5.33,0.86,12.14,https://www.vgchartz.com/games/boxart/full_8328377AmericaFrontccc.jpg,https://www.vgchartz.com/games/banners/animal-crossing-wild-world_banner68.png
73,"Super Mario Land 2: 6 Golden Coins",GB,1992,Platform,"Nintendo  ","Nintendo R&D1  ",9,0,6.16,2.04,2.69,0.29,11.18,https://www.vgchartz.com/games/boxart/full_5947486AmericaFrontccc.jpg,https://www.vgchartz.com/games/banners/super-mario-land-2-6-golden-coins_banner15.jpg
74,"Grand Theft Auto IV",X360,2008,Action,"Rockstar Games  ","Rockstar North  ",10,0,6.8,3.11,0.14,1.04,11.09,https://www.vgchartz.com/games/boxart/full_1182151AmericaFrontccc.jpg,https://www.vgchartz.com/games/banners/grand-theft-auto-iv_banner34.png
75,"FIFA 17",PS4,2016,Sports,"Electronic Arts  ","EA Canada  ",8.9,0,1.26,7.95,0.12,1.61,10.94,https://www.vgchartz.com/games/boxart/full_7661370AmericaFrontccc.jpg,https://www.vgchartz.com/games/banners/8200828117272ccc.jpg
76,"Gran Turismo",PS,1998,Racing,"Sony Computer Entertainment  ","Polyphony Digital  ",9.5,0,4.02,3.87,2.54,0.52,10.95,https://www.vgchartz.com/games/boxart/6215143ccc.jpg,https://www.vgchartz.com/games/banners/gran-turismo_banner88.jpg
77,"Call of Duty: Modern Warfare 2",PS3,2009,Shooter,"Activision  ","Infinity Ward  ",9.5,0,4.99,3.66,0.38,1.59,10.61,https://www.vgchartz.com/games/boxart/full_call-of-duty-modern-warfare-2_1AmericaFront.jpg,https://www.vgchartz.com/games/banners/call-of-duty-modern-warfare-2_banner17.jpg
