,Rank,Name,Platform,Year,Genre,Publisher,Developer,Critic_Score,User_Score,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Global_Sales,card_image,full_image
1338,1359,NBA 2K14,X360,2013.0,Sports,2K Sports  ,Visual Concepts  ,,,2.11,0.19,0.0,0.27,2.57,https://www.vgchartz.com/games/boxart/full_7567790AmericaFrontccc.jpeg,https://www.vgchartz.com/games/banners/123742472228ccc.png
1340,1361,Dragon Age: Origins,X360,2009.0,Role-Playing,Electronic Arts  ,BioWare Edmonton  ,8.5,,1.76,0.55,0.03,0.22,2.56,https://www.vgchartz.com/games/boxart/full_9613529AmericaFrontccc.jpg,https://www.vgchartz.com/games/banners/dragon-age-origins_banner62.jpg
1341,1362,FIFA 16,PS3,2015.0,Sports,EA Sports  ,EA Canada  ,9.0,,0.43,1.68,0.05,0.38,2.55,https://www.vgchartz.com/games/boxart/full_5792466AmericaFrontccc.jpg,https://www.vgchartz.com/games/banners/51256585615ccc.jpg
1342,1363,Pokémon Stadium 2,N64,2001.0,Strategy,Nintendo  ,HAL Laboratory  ,7.9,,1.02,0.36,1.13,0.23,2.73,https://www.vgchartz.com/games/boxart/6505587ccc.jpg,https://www.vgchartz.com/games/banners/64578641768ccc.png
1346,1367,Crazy Taxi,PS2,2001.0,Racing,Acclaim Entertainment  ,Hitmaker  ,8.2,,1.13,1.12,0.06,0.22,2.52,https://www.vgchartz.com/games/boxart/7476333ccc.jpg,https://www.vgchartz.com/games/banners/crazy-taxi_banner4.jpg
1349,1370,Tomb Raider (2013),PS3,2013.0,Action,Square Enix  ,Crystal Dynamics  ,8.9,,0.6,1.45,0.08,0.38,2.51,https://www.vgchartz.com/games/boxart/full_7814840AmericaFrontccc.jpg,https://www.vgchartz.com/games/banners/882789170428ccc.jpg
1350,1371,Midnight Club: Los Angeles,PS3,2008.0,Racing,Rockstar Games  ,Rockstar San Diego  ,8.3,,1.59,0.54,0.05,0.33,2.5,https://www.vgchartz.com/games/boxart/full_134799AmericaFrontccc.jpg,https://www.vgchartz.com/games/banners/midnight-club-los-angeles_banner66.png
1351,1372,PES 2009: Pro Evolution Soccer,PS2,2008.0,Sports,Konami  ,Konami  ,,,0.13,0.07,0.26,2.05,2.5,https://www.vgchartz.com/games/boxart/full_5346796AmericaFrontccc.jpg,https://www.vgchartz.com/games/banners/pes-2009-pro-evolution-soccer_banner83.jpg
1358,1379,Crisis Core: Final Fantasy VII,PSP,2008.0,Role-Playing,Square Enix  ,Square Enix  ,8.1,9.0,1.35,0.6,0.8,0.44,3.19,https://www.vgchartz.com/games/boxart/full_6177641AmericaFrontccc.jpg,https://www.vgchartz.com/games/banners/crisis-core-final-fantasy-vii_banner70.jpg
1359,1380,Dance Central,X360,2010.0,Music,MTV Games  ,Harmonix Music Systems  ,8.4,,2.15,0.76,0.01,0.26,3.18,https://www.vgchartz.com/games/boxart/full_dance-central_7AmericaFront.jpg,https://www.vgchartz.com/games/banners/dance-central_banner72.jpg
1362,1383,Dragon Ball Z: Budokai 3,PS2,2004.0,Fighting,Atari  ,Dimps Corporation  ,,,1.09,0.15,0.65,0.04,1.94,https://www.vgchartz.com/games/boxart/full_5976419AmericaFrontccc.jpg,https://www.vgchartz.com/games/banners/8880129575ccc.png
1366,1387,Final Fantasy Tactics,PS,1998.0,Role-Playing,Sony Computer Entertainment  ,SquareSoft  ,8.8,,0.93,0.12,1.34,0.06,2.45,https://www.vgchartz.com/games/boxart/full_7911693AmericaFrontccc.jpg,https://www.vgchartz.com/games/banners/final-fantasy-tactics_banner12.jpg
1368,1389,Forza Horizon 3,XOne,2016.0,Racing,Microsoft Studios  ,Playground Games  ,9.0,,1.64,1.96,0.02,0.32,3.93,https://www.vgchartz.com/games/boxart/full_8430955AmericaFrontccc.jpg,https://www.vgchartz.com/games/banners/8440233119955ccc.jpg
1387,1408,NBA 2K15,PS4,2014.0,Sports,2K Sports  ,Visual Concepts  ,,,1.49,0.55,0.01,0.44,2.49,https://www.vgchartz.com/games/boxart/full_3442465AmericaFrontccc.jpeg,https://www.vgchartz.com/games/banners/682795778587ccc.png
1391,1412,Dark Souls III,PS4,2016.0,Role-Playing,Namco Bandai Games  ,From Software  ,,,1.0,0.63,0.44,0.34,2.42,https://www.vgchartz.com/games/boxart/full_6276285AmericaFrontccc.jpg,https://www.vgchartz.com/games/banners/56658885669ccc.jpg
1392,1413,Mario Party 2,N64,2000.0,Misc,Nintendo  ,Hudson Soft  ,,,1.28,0.14,1.08,0.01,2.5,https://www.vgchartz.com/games/boxart/4647968ccc.jpg,https://www.vgchartz.com/games/banners/mario-party-2_banner52.jpg
1393,1414,Saints Row: The Third,PS3,2011.0,Action,THQ  ,Volition Inc.  ,8.3,,0.86,1.06,0.18,0.37,2.48,https://www.vgchartz.com/games/boxart/full_saints-row-the-third_775AmericaFront.jpg,https://www.vgchartz.com/games/banners/saints-row-the-third_banner79.png
1394,1415,Tomb Raider: The Last Revelation,PS,1999.0,Action,Eidos Interactive  ,Core Design Ltd.  ,,,1.15,1.14,0.06,0.13,2.48,https://www.vgchartz.com/games/boxart/3834326ccc.jpg,https://www.vgchartz.com/games/banners/50172086507ccc.png
1396,1417,Pure,X360,2008.0,Racing,Disney Interactive Studios  ,Black Rock Studio  ,8.3,,1.38,0.84,0.0,0.25,2.47,https://www.vgchartz.com/games/boxart/full_6641857AmericaFrontccc.jpg,https://www.vgchartz.com/games/banners/pure_banner46.jpg
1398,1419,Minecraft,PSV,2014.0,Misc,Sony Computer Entertainment America  ,4J Studios  ,,,0.22,0.73,1.25,0.27,2.47,https://www.vgchartz.com/games/boxart/full_4261230AmericaFrontccc.jpg,https://www.vgchartz.com/games/banners/152277775584ccc.jpg
1400,1421,Paper Mario: Sticker Star,3DS,2012.0,Role-Playing,Nintendo  ,Intelligent Systems  ,,,1.12,0.49,0.64,0.15,2.41,https://www.vgchartz.com/games/boxart/full_877556PALFrontccc.jpg,https://www.vgchartz.com/games/banners/680803770588ccc.png
1401,1422,WarioWare Touched!,DS,2005.0,Puzzle,Nintendo  ,Intelligent Systems  ,7.8,,0.51,0.45,1.21,0.13,2.3,https://www.vgchartz.com/games/boxart/9940541ccc.jpg,https://www.vgchartz.com/games/banners/warioware-touched_banner42.jpg
1402,1423,Resistance 2,PS3,2008.0,Shooter,Sony Computer Entertainment  ,Insomniac Games  ,8.5,8.7,1.15,0.84,0.1,0.38,2.47,https://www.vgchartz.com/games/boxart/full_6559401AmericaFrontccc.jpg,https://www.vgchartz.com/games/banners/resistance-2_banner52.jpg
1405,1426,Mario Party 4,GC,2002.0,Misc,Nintendo  ,Hudson Soft  ,7.0,,1.13,0.36,0.92,0.07,2.47,https://www.vgchartz.com/games/boxart/6052819ccc.jpg,https://www.vgchartz.com/games/banners/mario-party-4_banner3.jpg
1406,1427,Dying Light,PS4,2015.0,Action,Warner Bros. Interactive  ,Techland  ,,,1.18,0.74,0.13,0.4,2.45,https://www.vgchartz.com/games/boxart/full_1175839AmericaFrontccc.jpg,https://www.vgchartz.com/games/banners/366132672235ccc.png
1418,1439,Ice Hockey,NES,1988.0,Sports,Nintendo  ,Nintendo  ,,,1.27,0.32,0.78,0.05,2.42,https://www.vgchartz.com/games/boxart/7172339ccc.jpg,https://www.vgchartz.com/games/banners/ice-hockey_banner49.jpg
1419,1440,Sonic Adventure,DC,1999.0,Platform,Sega  ,Sonic Team  ,8.9,,1.26,0.61,0.46,0.08,2.42,https://www.vgchartz.com/games/boxart/5905935ccc.png,https://www.vgchartz.com/games/banners/sonic-adventure_banner23.jpg
1420,1441,Tom Clancy's Rainbow Six: Vegas 2,X360,2008.0,Shooter,Ubisoft  ,Ubisoft Montreal  ,8.2,,1.56,0.61,0.02,0.23,2.42,https://www.vgchartz.com/games/boxart/full_8847992AmericaFrontccc.jpg,https://www.vgchartz.com/games/banners/tom-clancys-rainbow-six-vegas-2_banner6.jpg
1421,1442,God of War Collection,PS3,2009.0,Action,Sony Computer Entertainment  ,Bluepoint Games  ,9.2,,1.7,0.45,0.06,0.4,2.6,https://www.vgchartz.com/games/boxart/full_6458923AmericaFrontccc.jpg,https://www.vgchartz.com/games/banners/god-of-war-collection_banner81.png
1422,1443,Kinect: Disneyland Adventures,X360,2011.0,Action-Adventure,Microsoft Studios  ,Frontier Developments  ,8.5,,1.73,0.43,0.02,0.23,2.41,https://www.vgchartz.com/games/boxart/full_6722413AmericaFrontccc.jpg,https://www.vgchartz.com/games/banners/kinect-disneyland-adventures_banner97.png
1423,1444,Pro Evolution Soccer 2011,PS3,2010.0,Sports,Konami  ,Konami  ,6.0,,0.29,1.18,0.54,0.41,2.41,https://www.vgchartz.com/games/boxart/full_pro-evolution-soccer-2011_2AmericaFront.jpg,https://www.vgchartz.com/games/banners/pro-evolution-soccer-2011_banner43.png
1425,1446,Pokémon Colosseum,GC,2004.0,Role-Playing,Nintendo  ,Genius Sonority Inc.  ,7.0,,1.21,0.57,0.7,0.07,2.54,https://www.vgchartz.com/games/boxart/809811ccc.jpg,https://www.vgchartz.com/games/banners/pokemon-colosseum_banner45.jpg
1427,1448,Halo: Combat Evolved Anniversary,X360,2011.0,Shooter,Microsoft Studios  ,343 Industries  ,8.0,,1.44,0.71,0.04,0.22,2.41,https://www.vgchartz.com/games/boxart/full_halo-combat-evolved-anniversary_84AmericaFront.jpg,https://www.vgchartz.com/games/banners/halo-combat-evolved-anniversary_banner45.jpg
1428,1449,Need for Speed: ProStreet,PS2,2007.0,Racing,Electronic Arts  ,EA Black Box  ,,,0.69,0.0,0.04,1.68,2.41,https://www.vgchartz.com/games/boxart/9522566ccc.jpg,https://www.vgchartz.com/games/banners/need-for-speed-prostreet_banner21.png
1430,1451,Forza Motorsport 5,XOne,2013.0,Racing,Microsoft Studios  ,Turn 10 Studios  ,,,1.28,0.9,0.01,0.21,2.4,https://www.vgchartz.com/games/boxart/full_3122903AmericaFrontccc.jpg,https://www.vgchartz.com/games/banners/258449172222ccc.png
1431,1452,Midnight Club: Los Angeles,X360,2008.0,Racing,Rockstar Games  ,Rockstar San Diego  ,8.0,,1.72,0.45,0.01,0.22,2.4,https://www.vgchartz.com/games/boxart/full_3616000AmericaFrontccc.jpg,https://www.vgchartz.com/games/banners/midnight-club-los-angeles_banner51.png
1433,1454,Dino Crisis,PS,1999.0,Action,Capcom  ,Capcom Production Studio 4  ,8.9,,0.81,0.76,0.7,0.14,2.41,https://www.vgchartz.com/games/boxart/full_5867047AmericaFrontccc.jpg,https://www.vgchartz.com/games/banners/dino-crisis_banner33.jpg
1435,1456,Monster Hunter Freedom 2,PSP,2007.0,Role-Playing,Capcom  ,Capcom  ,7.6,,0.37,0.27,1.75,0.18,2.58,https://www.vgchartz.com/games/boxart/full_3699063AmericaFrontccc.jpg,https://www.vgchartz.com/games/banners/monster-hunter-freedom-2_banner6.jpg
1436,1457,Naruto Shippuden: Ultimate Ninja Storm 4,PS4,2016.0,Fighting,Namco Bandai Games  ,CyberConnect2  ,,,0.71,0.47,0.12,0.24,1.54,https://www.vgchartz.com/games/boxart/full_3361687AmericaFrontccc.png,https://www.vgchartz.com/games/banners/585920884977ccc.png
1438,1459,Pro Wrestling,NES,1987.0,Fighting,Nintendo  ,TRY Corporation  ,,,0.77,0.18,1.42,0.03,2.4,https://www.vgchartz.com/games/boxart/5494901ccc.jpg,https://www.vgchartz.com/games/banners/pro-wrestling_banner22.jpg
1442,1463,Batman: Arkham Origins,PS3,2013.0,Action-Adventure,Warner Bros. Interactive Entertainment  ,Warner Bros. Interactive Entertainment  ,,,1.08,0.88,0.04,0.4,2.4,https://www.vgchartz.com/games/boxart/full_3120044AmericaFrontccc.jpg,https://www.vgchartz.com/games/banners/995565071969ccc.jpg
1445,1466,Mario & Sonic at the London 2012 Olympic Games,Wii,2011.0,Sports,Sega  ,Sega  ,6.8,,1.12,1.9,0.27,0.43,3.72,https://www.vgchartz.com/games/boxart/full_mario-amp-sonic-at-the-london-2012-olympic-games_626AmericaFront.jpg,https://www.vgchartz.com/games/banners/mario-ampamp-sonic-at-the-london-2012-olympic-games_banner55.jpg
1449,1470,ARMS,NS,2017.0,Fighting,Nintendo  ,Nintendo EPD  ,7.9,,0.9,0.48,0.47,0.14,1.99,https://www.vgchartz.com/games/boxart/full_84620AmericaFrontccc.png,https://www.vgchartz.com/games/banners/6398899153117ccc.png
1450,1471,WCW/nWo Revenge,N64,1998.0,Fighting,THQ  ,Aki Corp.  ,,,1.94,0.39,0.03,0.02,2.38,https://www.vgchartz.com/games/boxart/full_8313928AmericaFrontccc.jpg,https://www.vgchartz.com/games/banners/wcwnwo-revenge_banner24.jpg
1451,1472,Ratchet & Clank (2016),PS4,2016.0,Platform,Sony Interactive Entertainment  ,Insomniac Games  ,,,0.97,0.97,0.06,0.39,2.38,https://www.vgchartz.com/games/boxart/full_9428003AmericaFrontccc.png,https://www.vgchartz.com/games/banners/967657583085ccc.jpg
1454,1475,The Incredibles,PS2,2004.0,Action,THQ  ,Heavy Iron Studios  ,5.9,,0.96,1.08,0.04,0.3,2.37,https://www.vgchartz.com/games/boxart/2974497ccc.jpg,https://www.vgchartz.com/games/banners/the-incredibles_banner44.jpg
1455,1476,Tony Hawk's Underground 2,PS2,2004.0,Sports,Activision  ,Neversoft Entertainment  ,,,1.25,0.86,0.01,0.26,2.37,https://www.vgchartz.com/games/boxart/6282462ccc.jpg,https://www.vgchartz.com/games/banners/tony-hawks-underground-2_banner62.jpg
1456,1477,Yokai Watch Blasters: Red Cat Corps / White Dog Squad,3DS,2018.0,Role-Playing,Nintendo  ,Level 5  ,,,0.07,0.05,2.3,0.01,2.44,https://www.vgchartz.com/games/boxart/full_9614181AmericaFrontccc.jpg,https://www.vgchartz.com/games/banners/467208385786ccc.jpg
1458,1479,Uncharted: The Lost Legacy,PS4,2017.0,Action,Sony Interactive Entertainment  ,Naughty Dog  ,,,0.58,1.38,0.04,0.36,2.37,https://www.vgchartz.com/games/boxart/full_727021AmericaFrontccc.png,https://www.vgchartz.com/games/banners/6685145147591ccc.png
1461,1482,Kirby's Dream Land 2,GB,1995.0,Platform,Nintendo  ,HAL Laboratory  ,,,0.69,0.14,1.48,0.05,2.36,https://www.vgchartz.com/games/boxart/full_kirbys-dream-land-2_636AmericaFront.jpg,https://www.vgchartz.com/games/banners/kirbys-dream-land-2_banner92.jpg
1463,1484,Pokémon Mystery Dungeon: Red Rescue Team,GBA,2006.0,Role-Playing,Nintendo  ,ChunSoft  ,,,0.71,0.52,0.74,0.08,2.06,https://www.vgchartz.com/games/boxart/8509143ccc.jpg,https://www.vgchartz.com/games/banners/46504874027ccc.png
1465,1486,Donkey Kong Land 2,GB,1996.0,Platform,Nintendo  ,Rare Ltd.  ,,,1.39,0.48,0.4,0.08,2.35,https://www.vgchartz.com/games/boxart/full_1526512AmericaFrontccc.jpg,https://www.vgchartz.com/games/banners/donkey-kong-land-2_banner62.jpg
1467,1488,Pokémon Ranger: Shadows of Almia,DS,2008.0,Role-Playing,Nintendo  ,HAL Laboratory  ,6.7,,0.94,0.54,0.62,0.18,2.28,https://www.vgchartz.com/games/boxart/full_3527400AmericaFrontccc.jpg,https://www.vgchartz.com/games/banners/pokemon-ranger-shadows-of-almia_banner3.jpg
1468,1489,The Legend of Zelda: The Wind Waker,WiiU,2013.0,Action-Adventure,Nintendo  ,Nintendo EAD  ,9.3,,1.04,0.73,0.15,0.17,2.08,https://www.vgchartz.com/games/boxart/full_5986308AmericaFrontccc.jpg,https://www.vgchartz.com/games/banners/973952271407ccc.jpg
1469,1490,WarioWare: Smooth Moves,Wii,2007.0,Puzzle,Nintendo  ,Intelligent Systems  ,8.2,,0.86,1.05,0.73,0.26,2.89,https://www.vgchartz.com/games/boxart/full_7825184AmericaFrontccc.jpg,https://www.vgchartz.com/games/banners/warioware-smooth-moves_banner91.jpg
1472,1493,WWE SmackDown vs Raw 2008,PS2,2007.0,Fighting,THQ  ,Yuke's Media Creations  ,,,0.92,0.0,0.01,1.41,2.34,https://www.vgchartz.com/games/boxart/full_9902854AmericaFrontccc.jpg,https://www.vgchartz.com/games/banners/wwe-smackdown-vs-raw-2008_banner90.jpg
1473,1494,Dragon Age: Inquisition,PS4,2014.0,Role-Playing,Electronic Arts  ,BioWare Edmonton  ,,,1.07,0.8,0.08,0.38,2.34,https://www.vgchartz.com/games/boxart/full_5737361AmericaFrontccc.jpg,https://www.vgchartz.com/games/banners/811291081792ccc.png
1474,1495,Kinect Sports: Season Two,X360,2011.0,Sports,Microsoft Studios  ,Rare Ltd.  ,6.6,,1.38,0.72,0.02,0.21,2.33,https://www.vgchartz.com/games/boxart/full_kinect-sports-season-two_392AmericaFront.jpg,https://www.vgchartz.com/games/banners/kinect-sports-season-two_banner22.jpg
1476,1497,Art Academy,DS,2010.0,Misc,Nintendo  ,Headstrong Games  ,6.8,,0.26,1.66,0.33,0.27,2.52,https://www.vgchartz.com/games/boxart/full_art-academy_9AmericaFront.jpg,https://www.vgchartz.com/games/banners/art-academy_banner98.jpg
1481,1502,Mario Tennis,N64,2000.0,Sports,Nintendo  ,Camelot Software Planning  ,8.8,,0.78,0.4,1.06,0.07,2.32,https://www.vgchartz.com/games/boxart/4102422ccc.jpg,https://www.vgchartz.com/games/banners/6002063719ccc.png
1482,1503,Grand Theft Auto,PS,1998.0,Action,Take-Two Interactive  ,DMA Design  ,6.0,,0.79,1.35,0.04,0.14,2.32,https://www.vgchartz.com/games/boxart/6725603ccc.jpg,https://www.vgchartz.com/games/banners/9760596889ccc.png
1483,1504,James Bond 007: Everything or Nothing,PS2,2004.0,Shooter,Electronic Arts  ,EA Redwood Shores  ,,,0.85,1.06,0.09,0.32,2.31,https://www.vgchartz.com/games/boxart/7857371ccc.jpg,https://www.vgchartz.com/games/banners/james-bond-007-everything-or-nothing_banner62.jpg
1486,1507,Fire Emblem: Awakening,3DS,2013.0,Role-Playing,Nintendo  ,Intelligent Systems  ,9.0,,0.9,0.5,0.56,0.14,2.1,https://www.vgchartz.com/games/boxart/full_115466AmericaFrontccc.png,https://www.vgchartz.com/games/banners/872655170704ccc.png
1487,1508,Mario Paint,SNES,1992.0,Misc,Nintendo  ,Intelligent Systems  ,,,1.43,0.54,0.71,0.07,2.75,https://www.vgchartz.com/games/boxart/full_2886915AmericaFrontccc.jpg,https://www.vgchartz.com/games/banners/mario-paint_banner25.jpg
1488,1509,The Sims 3,X360,2010.0,Simulation,Electronic Arts  ,The Sims Studio  ,8.0,,1.28,0.82,0.0,0.2,2.31,https://www.vgchartz.com/games/boxart/full_the-sims-3_5AmericaFront.jpg,https://www.vgchartz.com/games/banners/the-sims-3_banner39.jpg
1489,1510,Cool Boarders 3,PS,1998.0,Sports,989 Studios  ,Idol Minds Digital Entertainment  ,,,1.65,0.46,0.1,0.1,2.31,https://www.vgchartz.com/games/boxart/7714084ccc.jpg,https://www.vgchartz.com/games/banners/4625587401ccc.png
1495,1516,Final Fantasy III,DS,2006.0,Role-Playing,Square Enix  ,Matrix Software  ,7.4,,0.89,0.04,1.07,0.09,2.08,https://www.vgchartz.com/games/boxart/5113389ccc.jpg,https://www.vgchartz.com/games/banners/final-fantasy-iii_banner27.jpg
1496,1517,Resident Evil 4,PS2,2005.0,Action,Capcom  ,Capcom Production Studio 4  ,9.6,9.3,2.08,0.83,0.46,0.25,3.62,https://www.vgchartz.com/games/boxart/full_9190363AmericaFrontccc.jpg,https://www.vgchartz.com/games/banners/resident-evil-4_banner24.jpg
1499,1520,Dead Island,PS3,2011.0,Action,Deep Silver  ,Techland  ,6.7,,1.08,0.74,0.15,0.32,2.29,https://www.vgchartz.com/games/boxart/full_dead-island_140AmericaFront.jpg,https://www.vgchartz.com/games/banners/dead-island_banner16.jpg
1503,1524,Pro Evolution Soccer 2010,PS3,2009.0,Sports,Konami  ,Konami  ,7.0,,0.3,1.27,0.46,0.26,2.28,https://www.vgchartz.com/games/boxart/full_4520839AmericaFrontccc.jpg,https://www.vgchartz.com/games/banners/pro-evolution-soccer-2010_banner71.jpg
1504,1525,Mario Bros.,NES,1986.0,Platform,Nintendo  ,Nintendo R&D1  ,,,0.51,0.12,1.63,0.02,2.28,https://www.vgchartz.com/games/boxart/1759563ccc.jpg,https://www.vgchartz.com/games/banners/91119436330ccc.png
1506,1527,FIFA Soccer 09,PS2,2008.0,Sports,Electronic Arts  ,EA Canada  ,,,0.38,0.07,0.01,1.82,2.28,https://www.vgchartz.com/games/boxart/2943107ccc.jpg,https://www.vgchartz.com/games/banners/fifa-soccer-09_banner60.jpg
1509,1530,Animal Crossing,GC,2002.0,Simulation,Nintendo  ,Nintendo EAD  ,8.3,,1.92,0.16,0.99,0.09,3.15,https://www.vgchartz.com/games/boxart/6370092ccc.jpg,https://www.vgchartz.com/games/banners/animal-crossing_banner31.jpg
1511,1532,Kirby Squeak Squad,DS,2006.0,Platform,Nintendo  ,"HAL Laboratory, Flagship  ",7.3,,0.78,0.03,1.05,0.08,1.94,https://www.vgchartz.com/games/boxart/8940749ccc.gif,https://www.vgchartz.com/games/banners/kirby-squeak-squad_banner0.jpg
1513,1534,Borderlands 2,PS3,2012.0,Shooter,2K Games  ,Gearbox Software  ,,,1.06,0.75,0.1,0.36,2.27,https://www.vgchartz.com/games/boxart/full_477105AmericaFrontccc.jpeg,https://www.vgchartz.com/games/banners/borderlands-2_banner54.jpg
1515,1536,No Man's Sky,PS4,2016.0,Action-Adventure,Hello Games  ,Hello Games  ,6.8,,0.89,0.97,0.04,0.37,2.26,https://www.vgchartz.com/games/boxart/full_8736251AmericaFrontccc.jpg,https://www.vgchartz.com/games/banners/799840884663ccc.jpeg
1517,1538,Mario Party 10,WiiU,2015.0,Misc,Nintendo  ,"Nd Cube Co., Ltd.  ",6.3,,0.82,0.75,0.29,0.14,2.0,https://www.vgchartz.com/games/boxart/full_2881504PALFrontccc.jpg,https://www.vgchartz.com/games/banners/445183782966ccc.png
1518,1539,Cool Boarders 2,PS,1997.0,Sports,Sony Computer Entertainment  ,UEP Systems  ,,,1.52,0.46,0.2,0.08,2.25,https://www.vgchartz.com/games/boxart/7153932ccc.jpg,https://www.vgchartz.com/games/banners/cool-boarders-2_banner97.jpg
1520,1541,Dynasty Warriors 4,PS2,2003.0,Action,KOEI  ,Omega Force  ,,,0.63,0.21,1.13,0.13,2.11,https://www.vgchartz.com/games/boxart/2421594ccc.jpg,https://www.vgchartz.com/games/banners/dynasty-warriors-4_banner48.png
1521,1542,Guitar Hero III: Legends of Rock,PS3,2007.0,Misc,RedOctane  ,Neversoft  ,8.2,8.0,1.4,0.53,0.02,0.3,2.25,https://www.vgchartz.com/games/boxart/full_7921457AmericaFrontccc.jpg,https://www.vgchartz.com/games/banners/guitar-hero-iii-legends-of-rock_banner66.jpg
1526,1547,Sonic Advance,GBA,2002.0,Platform,Sega  ,Dimps Corporation / Sonic Team  ,,,1.19,0.71,0.22,0.13,2.24,https://www.vgchartz.com/games/boxart/3370280ccc.jpg,https://www.vgchartz.com/games/banners/sonic-advance_banner68.jpg
1527,1548,Super Mario All-Stars: Limited Edition,Wii,2010.0,Platform,Nintendo  ,Nintendo EAD  ,7.2,,1.04,0.52,0.92,0.14,2.62,https://www.vgchartz.com/games/boxart/full_super-mario-all-stars-limited-edition_6AmericaFront.jpg,https://www.vgchartz.com/games/banners/super-mario-collection-special-pack_banner49.jpg
1529,1550,Air Combat,PS,1995.0,Simulation,Namco  ,Namco  ,7.0,,0.92,0.33,0.52,0.05,1.83,https://www.vgchartz.com/games/boxart/full_7626494AmericaFrontccc.jpg,https://www.vgchartz.com/games/banners/air-combat_banner57.png
1530,1551,Teenage Mutant Ninja Turtles II: The Arcade Game,NES,1990.0,Action,Ultra Games  ,Konami  ,,,1.74,0.25,0.21,0.03,2.23,https://www.vgchartz.com/games/boxart/3334844ccc.jpg,https://www.vgchartz.com/games/banners/teenage-mutant-ninja-turtles-ii-the-arcade-game_banner16.jpg
1532,1553,Battlefield V,PS4,2018.0,Shooter,Electronic Arts  ,EA DICE  ,,,0.8,0.93,0.16,0.34,2.22,https://www.vgchartz.com/games/boxart/full_7556934AmericaFrontccc.jpg,https://www.vgchartz.com/games/banners/1615721221995ccc.png
1536,1557,The Legend of Zelda: Link's Awakening DX,GBC,1998.0,Adventure,Nintendo  ,Nintendo EAD  ,9.4,,1.0,0.63,0.45,0.13,2.22,https://www.vgchartz.com/games/boxart/4175325ccc.jpg,https://www.vgchartz.com/games/banners/the-legend-of-zelda-links-awakening-dx_banner7.jpg
1537,1558,NBA 2K14,PS3,2013.0,Sports,2K Sports  ,Visual Concepts  ,,,1.45,0.34,0.04,0.39,2.22,https://www.vgchartz.com/games/boxart/full_8171965AmericaFrontccc.jpeg,https://www.vgchartz.com/games/banners/773739972229ccc.png
1543,1564,Need for Speed: Hot Pursuit,X360,2010.0,Racing,Electronic Arts  ,Criterion Games  ,8.8,,1.03,0.96,0.0,0.21,2.2,https://www.vgchartz.com/games/boxart/full_need-for-speed-hot-pursuit_656AmericaFront.jpg,https://www.vgchartz.com/games/banners/need-for-speed-hot-pursuit_banner28.jpg
1557,1578,Wario Land 3,GB,2000.0,Platform,Nintendo  ,Nintendo R&D1  ,,,1.11,0.51,0.34,0.23,2.2,https://www.vgchartz.com/games/boxart/full_9869088AmericaFrontccc.jpg,https://www.vgchartz.com/games/banners/6671656521ccc.png
1558,1579,Wario Land 4,GBA,2001.0,Platform,Nintendo  ,Nintendo R&D1  ,,,0.9,0.73,0.54,0.09,2.26,https://www.vgchartz.com/games/boxart/2673699ccc.jpg,https://www.vgchartz.com/games/banners/wario-land-4_banner22.jpg
1560,1581,BioShock 2,X360,2010.0,Shooter,2K Games  ,2K Marin  ,8.6,,1.45,0.54,0.02,0.2,2.2,https://www.vgchartz.com/games/boxart/full_8209982AmericaFrontccc.jpg,https://www.vgchartz.com/games/banners/bioshock-2_banner28.png
1562,1583,Final Fantasy XIII,X360,2010.0,Role-Playing,Square Enix  ,Square Enix  ,8.1,,1.3,0.67,0.01,0.21,2.19,https://www.vgchartz.com/games/boxart/full_1819815AmericaFrontccc.jpg,https://www.vgchartz.com/games/banners/final-fantasy-xiii_banner59.jpg
1566,1587,Donkey Kong Country,GBC,2000.0,Platform,Nintendo  ,Rare Ltd.  ,9.1,,1.04,0.72,0.3,0.13,2.19,https://www.vgchartz.com/games/boxart/full_5744926AmericaFrontccc.jpg,https://www.vgchartz.com/games/banners/donkey-kong-country_banner5.jpg
1567,1588,Kirby's Pinball Land,GB,1993.0,Misc,Nintendo  ,HAL Laboratory  ,,,0.87,0.17,1.1,0.05,2.19,https://www.vgchartz.com/games/boxart/full_8442632AmericaFrontccc.jpg,https://www.vgchartz.com/games/banners/kirbys-pinball-land_banner31.jpg
1568,1589,Pro Evolution Soccer 2012,PS3,2011.0,Sports,Konami  ,Konami  ,7.5,,0.34,0.97,0.55,0.32,2.19,https://www.vgchartz.com/games/boxart/full_pro-evolution-soccer-2012_544AmericaFront.jpg,https://www.vgchartz.com/games/banners/pro-evolution-soccer-2012_banner26.jpg
1569,1590,Need for Speed: Payback,PS4,2017.0,Racing,Electronic Arts  ,Ghost Games  ,5.8,,0.62,1.18,0.04,0.34,2.18,https://www.vgchartz.com/games/boxart/full_6891468AmericaFrontccc.jpg,https://www.vgchartz.com/games/banners/9867147179712ccc.jpg
1571,1592,Dragon Ball: Xenoverse,PS4,2015.0,Fighting,Namco Bandai Games  ,Dimps Corporation  ,,,0.33,0.55,0.14,0.17,1.19,https://www.vgchartz.com/games/boxart/full_2446198AmericaFrontccc.jpg,https://www.vgchartz.com/games/banners/8188882944ccc.png
